"","Estimate","Std..Error","t.value","p.z","element"
"sbison_dens",0.0331562281524988,0.0277759630890515,1.19370219661503,0.232594480943555,"grassN"
"scattle_dens",0.00869578550875717,0.0243363402219814,0.357316894382617,0.720854583807431,"grassN"
"sPD_poo",0.0670961496409727,0.0212880820437797,3.15181750535285,0.00162257649215358,"grassN"
"sghop_m2_est",0.00142884765276054,0.0122794499676979,0.116360883958095,0.907366534833513,"grassN"
"smonth",-0.100103864553764,0.0101146272189635,-9.89694057790715,0,"grassN"
"sbison_dens1",0.022971155768235,0.0386473554571175,0.594378463844011,0.552259009406043,"grassP"
"scattle_dens1",0.0335054555996607,0.0339263727065214,0.987593218099036,0.323351909043138,"grassP"
"sPD_poo1",0.045395826857869,0.0295452288436995,1.53648587722988,0.124419258908589,"grassP"
"sghop_m2_est1",0.00722490300876148,0.0159893365563531,0.451857585416251,0.651371581753717,"grassP"
"smonth1",-0.0734090209115422,0.0129717291535348,-5.65915461560021,1.52120460672478e-08,"grassP"
"sbison_dens2",0.0108447792824929,0.0432107140105923,0.250974313450005,0.801833968616838,"grassK"
"scattle_dens2",0.00865662197365057,0.0378737368101994,0.228565298878017,0.819206798087162,"grassK"
"sPD_poo2",0.0836285899190672,0.0331015421594209,2.52642579358696,0.0115229728801449,"grassK"
"sghop_m2_est2",-0.00693441290234295,0.0188648930289984,-0.367582943178295,0.713184235098328,"grassK"
"smonth2",-0.0833367710350733,0.0154920104317374,-5.37933868572326,7.47599482320283e-08,"grassK"
"sbison_dens3",0.0549070761790836,0.0224969760801894,2.44064251050318,0.014661160013997,"grassMg"
"scattle_dens3",0.075330630881342,0.0194049714936705,3.88202739209967,0.000103589205298071,"grassMg"
"sPD_poo3",0.0385500344431162,0.0182737227846286,2.10958844552155,0.0348938204478619,"grassMg"
"sghop_m2_est3",-0.00938401850385583,0.0173659518782349,-0.540368795770821,0.588942722919568,"grassMg"
"smonth3",0.0313295936283766,0.0179729154054278,1.74315590551965,0.0813063853860865,"grassMg"
"sbison_dens4",-0.0103662730828585,0.00731754502705067,-1.41663263355915,0.156590362282719,"grassNa"
"scattle_dens4",0.000759115969996512,0.00631974189551634,0.120118191936775,0.904389521648304,"grassNa"
"sPD_poo4",0.00598757467887825,0.00584554861844668,1.0242964466985,0.305695275766976,"grassNa"
"sghop_m2_est4",0.00212151428238424,0.00524460611494934,0.404513558480021,0.685835109607729,"grassNa"
"smonth4",0.00427940807330713,0.00520778183738394,0.821733361138038,0.411228667690624,"grassNa"
"sbison_dens5",-0.226035499549714,0.0880976575502942,-2.56573790762453,0.0102956589885583,"grassSi"
"scattle_dens5",-0.149622127770388,0.0759894364171013,-1.96898588573708,0.0489547118947982,"grassSi"
"sPD_poo5",0.0372441122673872,0.0715594916539405,0.52046362273643,0.60274047594928,"grassSi"
"sghop_m2_est5",0.111825714192421,0.068004680991364,1.64438260075981,0.100097196819914,"grassSi"
"smonth5",0.448180101370639,0.0703815366529229,6.36786467991996,1.91678006800089e-10,"grassSi"
"sbison_dens6",0.0283596894242335,0.0513175387890073,0.552631519232336,0.580515754494783,"forbN"
"scattle_dens6",-0.0563904017418753,0.0460100925530179,-1.22560939595799,0.22034570029552,"forbN"
"sPD_poo6",0.0257834033856948,0.034890721853948,0.738975922986738,0.45992161771271,"forbN"
"sghop_m2_est6",-0.0103086205412931,0.0149868986545053,-0.68784214659343,0.491552191868012,"forbN"
"smonth6",-0.0758371983127347,0.0124370845215422,-6.09766687533383,1.07627751155803e-09,"forbN"
"sbison_dens7",0.0508919106136864,0.0513676360502212,0.990738810015129,0.321813135008708,"forbP"
"scattle_dens7",-0.00843767172644296,0.0456330783482173,-0.184902531932137,0.853305485041503,"forbP"
"sPD_poo7",-0.0263065707216701,0.0359284215383274,-0.732193889831955,0.46405023322165,"forbP"
"sghop_m2_est7",-0.00812292493631612,0.0204531533929003,-0.39714780309308,0.691258470649696,"forbP"
"smonth7",-0.0609052259235792,0.0176972734070787,-3.44150336171095,0.000578491283203419,"forbP"
"sbison_dens8",0.0568326723405265,0.0669665825116635,0.84867213181482,0.396063757387072,"forbK"
"scattle_dens8",-0.0421991500781362,0.0594515790175077,-0.709807052655559,0.477823794992381,"forbK"
"sPD_poo8",-0.0219653492959366,0.0469416596753289,-0.467928689523538,0.63983558618551,"forbK"
"sghop_m2_est8",-0.0412909830330171,0.0272684477756212,-1.51424031806946,0.129964899351056,"forbK"
"smonth8",-0.0809164659108121,0.0237068819579866,-3.41320575410181,0.000642034488970378,"forbK"
"sbison_dens9",0.0375275935487243,0.0784203597729984,0.478544011495925,0.632263057072681,"forbMg"
"scattle_dens9",-0.0335328276246678,0.0697967791462462,-0.480435172436911,0.630917989444213,"forbMg"
"sPD_poo9",-0.0714521333804356,0.0545276405504149,-1.31038373674674,0.190066052561546,"forbMg"
"sghop_m2_est9",-0.0217722739101485,0.0293174757936086,-0.742638079192857,0.457700827709048,"forbMg"
"smonth9",-0.0341940619462507,0.0250688007902102,-1.36400868284071,0.172564832933131,"forbMg"
"sbison_dens10",0.025728796442094,0.0665066382742054,0.386860576774528,0.698859428219464,"forbNa"
"scattle_dens10",-0.029085241280257,0.0596512035720861,-0.487588506828846,0.625841337994453,"forbNa"
"sPD_poo10",-0.026079908262913,0.0451589991528865,-0.57751298195558,0.563592971473372,"forbNa"
"sghop_m2_est10",-0.00723233563302525,0.0191639017045565,-0.377393692814948,0.705881053372536,"forbNa"
"smonth10",0.0183346377768057,0.0158865259511035,1.15409988522583,0.24845922044222,"forbNa"
"sbison_dens11",0.00779129739997886,0.0695970859906968,0.111948615219613,0.91086414946985,"forbSi"
"scattle_dens11",0.0036423044661631,0.0615650571779815,0.0591618790450138,0.952823172547784,"forbSi"
"sPD_poo11",0.0183958973314078,0.0530671737698546,0.346653044143417,0.728851990502884,"forbSi"
"sghop_m2_est11",-0.0328093293828916,0.043897431220536,-0.747408868142216,0.454816793945207,"forbSi"
"smonth11",0.463775162088004,0.0470249065510298,9.86233032881696,0,"forbSi"
"sbison_dens12",-0.00665055419040045,0.0508662256321913,-0.130745973536349,0.895976262851485,"soilC"
"scattle_dens12",-0.0385024296463905,0.0480110067107333,-0.801950058626515,0.422581847695632,"soilC"
"sPD_poo12",0.146812498401787,0.0402506072026052,3.64746046346065,0.000264845048373541,"soilC"
"sghop_m2_est12",0.00241461458015871,0.0186481788591116,0.129482594434626,0.896975796636772,"soilC"
"smonth12",-0.0052453630890476,0.013984587102285,-0.375081727524908,0.707599685993129,"soilC"
"sbison_dens13",0.00456392685142757,0.0471173026313015,0.0968630756972835,0.922835132200815,"soilN"
"scattle_dens13",-0.0466259817601006,0.0444880576759097,-1.04805613451964,0.294612744792022,"soilN"
"sPD_poo13",0.126690293387412,0.0370435616348056,3.42003543385999,0.000626129794532027,"soilN"
"sghop_m2_est13",-0.00160145547840671,0.0158146240439466,-0.101264214309268,0.919340722971808,"soilN"
"smonth13",-0.00556678992392668,0.0117532078632595,-0.473640046929524,0.635756612747125,"soilN"
"sbison_dens14",0.00215555286695496,0.0482878674281137,0.044639636864559,0.964394548485583,"soilP"
"scattle_dens14",-0.0639829783488941,0.0457565683355204,-1.39833428677877,0.16201270633449,"soilP"
"sPD_poo14",-0.0436398689095887,0.0390376634303192,-1.11789141754051,0.263613370995978,"soilP"
"sghop_m2_est14",0.0860883394439776,0.0321334652178906,2.67908670478673,0.00738232751745005,"soilP"
"smonth14",0.0100151309223678,0.0284997623521032,0.351411032788093,0.725280006579171,"soilP"
"sbison_dens15",0.0253720750646502,0.0303258465611133,0.836648533900606,0.402790156122729,"soilK"
"scattle_dens15",-0.0239332020298741,0.0287655111877006,-0.832010315189786,0.405403122122807,"soilK"
"sPD_poo15",-0.0276699113763817,0.0245307070765771,-1.12797039604301,0.259332421800154,"soilK"
"sghop_m2_est15",-0.00277032369025455,0.0213035708397236,-0.130040344461356,0.896534507413143,"soilK"
"smonth15",0.0219066545047634,0.0195686954143544,1.11947444839343,0.262937785665612,"soilK"
"sbison_dens16",-0.00770166321591714,0.033931094768329,-0.226979508574707,0.820439676133485,"soilMg"
"scattle_dens16",-0.050099426520924,0.0321067885779157,-1.56039980141098,0.118665431742197,"soilMg"
"sPD_poo16",-0.0208225342393827,0.0273929320168011,-0.760142588117674,0.447169358185922,"soilMg"
"sghop_m2_est16",0.0165073731770318,0.0206122679101842,0.800851863994828,0.423217409758353,"soilMg"
"smonth16",0.0159385993539191,0.0174465339560124,0.913568241927296,0.360943760213203,"soilMg"
"sbison_dens17",0.0325842648012404,0.0726958348591948,0.448227396581292,0.653989092463062,"soilNa"
"scattle_dens17",0.0478416891654724,0.0689874885616999,0.693483560032549,0.488006139381136,"soilNa"
"sPD_poo17",-0.0534299063307955,0.0588149660988707,-0.908440655070298,0.363645454415921,"soilNa"
"sghop_m2_est17",-0.0597692958736449,0.052223623595007,-1.14448771952621,0.25242142793291,"soilNa"
"smonth17",0.039420725230576,0.048769745640703,0.808302867129897,0.418916252418345,"soilNa"
